Vegetable,Variety,Date_Sown,Days_to_havest
Onion,Red,16/01/2019,183
Garlic,Cassablanca,16/01/2019,183
Asparagus,Green,16/01/2019,1095
Chili,Cayene,26/01/2019,100
Chili,Haberno,26/01/2019,100
Chili,Pepchomix,26/01/2019,100
Chili,Birds eye,26/01/2019,100
Tomtato,Tigerella,26/01/2019,100
Tomtato,Yellow pear,26/01/2019,100
Tomtato,Plum,26/01/2019,100
Tomtato,San Marnez,26/01/2019,100
Tomtato,Sweet Pea (cherry),26/01/2019,100
Tomtato,Costoluto Florentino,26/01/2019,100
Aubergine,Moneymaker,26/01/2019,100
Aubergine,Lista de Gandia,26/01/2019,100
Tomatillo,Purple,26/01/2019,100
Corn,Incredible F1,26/01/2019,100
Corn,Fiesta Field,26/01/2019,100
Peas,Early Onward,26/01/2019,98
